,,Capacities (kW),Generation (kWh),Capex ($/y),FOM ($/y),Total capex ($),Emission factor (gCO2/kWh),Emission (tCO2/y),Expected cost emission ($/y),Expected opex ($/y),Expected private cost ($/y),Expected social cost ($/y),Shadow price carbon ($/tCO2)
deterministic,Coal,0.799900695137218,4323.895432900609,52.4536043382926,13.998262164901314,559.9304865960526,,,,,,,
deterministic,Solar,0.3810340252596887,734.6069283189117,19.40457855473772,4.762925315746109,190.51701262984434,,,,,,,
deterministic,Wind,0.9397036850504569,3080.232894833655,88.03029388616199,18.794073701009136,939.7036850504569,,,,,,,
deterministic,Storage,0.2001560270198277,0.0,4.209144759527075,1.4411233945427595,36.028084863568985,,,,,,,
deterministic,Total,2.320794432467191,8138.735256053176,164.09762153871938,38.99638457619932,1726.1792691399228,478.5734792861006,3.891505889610548,0.0,172.95581731602428,376.049823430943,376.049823430943,
deterministic_no_fcas,Coal,0.595420906667957,3173.551416136703,39.044812491069045,10.419865866689248,416.7946346675699,,,,,,,
deterministic_no_fcas,Solar,0.5126596648526491,988.371947659368,26.107759619889205,6.408245810658114,256.3298324263246,,,,,,,
deterministic_no_fcas,Wind,1.2267601030517448,4006.8110002721082,114.92138864355404,24.535202061034894,1226.7601030517449,,,,,,,
deterministic_no_fcas,Storage,0.6909038090149965,0.0,14.529235968321283,4.974507424907975,124.36268562269937,,,,,,,
deterministic_no_fcas,Total,3.025744483587347,8168.734364068179,194.60319672283356,46.337821163290236,2024.2472557683388,351.25214438755023,2.856196274523033,0.0,126.9420566454682,367.883074531592,367.883074531592,
deterministic_cstr,Coal,0.2256592274611321,903.4966666666666,14.797636637258444,3.9490364805698115,157.96145922279246,,,,,,,
deterministic_cstr,Solar,0.8821397955550766,1349.1004963321564,44.92394333404351,11.026747444438458,441.0698977775383,,,,,,,
deterministic_cstr,Wind,2.079576842192731,5815.441677031403,194.8122195213624,41.59153684385462,2079.576842192731,,,,,,,
deterministic_cstr,Storage,5.329677784873235,0.0,112.07948944722392,38.37368005108729,959.3420012771824,,,,,,,
deterministic_cstr,Total,8.517053650082175,8068.038840030225,366.61328893988826,94.94100081995018,3637.9502004702445,99.99999999999999,0.8131469999999998,0.0,233.77539843014245,695.329688189981,695.329688189981,166.16472566860293
stochastic,Coal,0.8798017437578968,5004.472195873809,57.69312721412259,15.396530515763194,615.8612206305278,,,,,,,
stochastic,Solar,0.28174866039414903,520.0250670394721,14.348361697053901,3.5218582549268627,140.87433019707453,,,,,,,
stochastic,Wind,0.8207401160025557,2609.7764781509704,76.8859319860901,16.414802320051113,820.7401160025557,,,,,,,
stochastic,Storage,0.16423556920952892,0.0,3.4537620263503466,1.1824960983086084,29.562402457715205,,,,,,,
stochastic,Total,2.1465260893641305,8134.273741064251,152.38118292361693,36.51568718904978,1607.0380692878732,553.9004603455992,4.504024976286429,0.0,200.17888783495232,389.075757947619,389.075757947619,
stochastic_no_fcas,Coal,0.8580481890697855,4943.2293583905,56.266634703866856,15.015843308721246,600.6337323488499,,,,,,,
stochastic_no_fcas,Solar,0.42790571682487816,801.2425720763969,21.791571213333714,5.348821460310977,213.95285841243907,,,,,,,
stochastic_no_fcas,Wind,0.7466586256726465,2410.9601716418133,69.94606842163402,14.93317251345293,746.6586256726465,,,,,,,
stochastic_no_fcas,Storage,0.16787993897763764,0.0,3.530400637435958,1.2087355606389911,30.218389015974775,,,,,,,
stochastic_no_fcas,Total,2.2004924705449476,8155.432102108711,151.53467497627054,36.50657284312415,1591.4636054499103,547.1220360588493,4.448906422551451,0.0,197.7291743356203,385.770422155015,385.770422155015,
stochastic_cstr_no_fcas,Coal,0.1964550264550264,903.4966666666663,12.882566911850278,3.437962962962962,137.51851851851848,,,,,,,
stochastic_cstr_no_fcas,Solar,1.0313068916683243,1863.8123040604044,52.52044244547825,12.891336145854055,515.6534458341622,,,,,,,
stochastic_cstr_no_fcas,Wind,2.6257917593872104,5886.974092942602,245.98096606411312,52.51583518774421,2625.7917593872103,,,,,,,
stochastic_cstr_no_fcas,Storage,3.116743785222589,0.0,65.54299645975024,22.440555253602643,561.0138813400661,,,,,,,
stochastic_cstr_no_fcas,Total,6.97029746273315,8654.283063669673,376.9269718811919,91.28568955016387,3839.9776050799574,99.99999999999999,0.8131469999999998,0.0,36.139866666667274,504.352528098023,504.352528098023,75.48372931297332
stochastic_cstr,Coal,0.2132646704609512,903.4966666666666,13.984861760591565,3.7321317330666464,149.28526932266584,,,,,,,
stochastic_cstr,Solar,1.0852303566265322,1262.2519133844305,55.266554452173864,13.565379457831654,542.6151783132661,,,,,,,
stochastic_cstr,Wind,2.769795595611497,5918.3914984087505,259.47106962040385,55.395911912229934,2769.795595611497,,,,,,,
stochastic_cstr,Storage,5.4768135130254825,0.0,115.17365347671819,39.43305729378348,985.8264323445868,,,,,,,
stochastic_cstr,Total,9.545104135724461,8084.140078459848,443.8961393098875,112.1264803969117,4447.522475592015,99.99999999999999,0.8131469999999998,0.0,240.86301927474688,796.885638981546,796.885638981546,258.6789108226569
